Ticker	Yearly Change	Percentage Charge	Stock Volume	Quote at BoY	Quote at EoY	LTM_Max	LTM_Min			Ticker	Value
VTR	-15.27	-21.30%	 679,070,300 	71.7	56.43	80.95	49.68				
VTRB	1.41	5.71%	 3,653,500 	24.7	26.11	26.63	24.04				
VTTI	-4.06	-16.38%	 19,849,400 	24.79	20.73	27.71	17.26				
VVC	-3.81	-8.24%	 110,382,800 	46.23	42.42	49.31	38.39				
VVI	1.57	5.89%	 22,031,900 	26.66	28.23	32.7	25.24				
VVR	-0.52	-11.40%	 142,230,700 	4.56	4.04	4.82	3.87				
VZ	-0.56	-1.20%	 3,815,460,600 	46.78	46.22	50.55	42.84				
VZA	1.44	5.50%	 10,921,100 	26.18	27.62	27.67	25.83				
W	27.77	139.90%	 257,512,900 	19.85	47.62	53.58	19.12				
WAB	-15.77	-18.15%	 179,768,300 	86.89	71.12	102.39	68.89				
WAC	-2.29	-13.87%	 71,659,400 	16.51	14.22	23.32	9.97				
WAGE	-19.2	-29.74%	 64,065,400 	64.57	45.37	64.57	39.24				
WAIR	-2.01	-14.38%	 91,564,900 	13.98	11.97	16.39	11.44				
WAL	8.06	28.99%	 156,162,500 	27.8	35.86	38.79	24.68				
WAT	21.86	19.39%	 115,178,800 	112.72	134.58	136.5	112.53				
WBAI	2.75	15.85%	 320,067,700 	17.35	20.1	30	9.23				
WBC	-2.52	-2.41%	 128,843,800 	104.78	102.26	133.21	94.54				
WBK	-2.67	-9.93%	 60,887,900 	26.9	24.23	31.18	20.43				
WBS	4.66	14.33%	 188,246,500 	32.53	37.19	40.96	29.11				
WBS-E	0.85	3.40%	 3,733,000 	25	25.85	26.27	24.42				
WCC	-32.53	-42.68%	 166,324,700 	76.21	43.68	76.21	40.04				
WCG	-3.85	-4.69%	 106,553,500 	82.06	78.21	98.51	72.85				
WCIC	2.7	13.79%	 49,523,300 	19.58	22.28	26.82	18.5				
WCN	12.33	28.03%	 171,168,800 	43.99	56.32	57.34	42.29				
WD	11.27	64.25%	 76,118,700 	17.54	28.81	32.11	16.03				
WDAY	-1.93	-2.36%	 368,352,400 	81.61	79.68	93.94	68.86				
WDR	-21.16	-42.47%	 223,390,600 	49.82	28.66	51.39	28.3				
WEA	-1.73	-12.46%	 7,999,100 	13.89	12.16	15.12	11.99				
WEC	-1.43	-2.71%	 484,795,800 	52.74	51.31	57.47	44.97				
WES	-25.52	-34.93%	 85,492,900 	73.05	47.53	74.28	37.62				
WEX	-10.52	-10.63%	 81,905,100 	98.92	88.4	118.5	84.66				
WF	-4.65	-17.06%	 1,551,000 	27.25	22.6	31.32	22.03				
WFC	-0.46	-0.84%	 4,010,512,200 	54.82	54.36	58.52	50.02				
WFC-J	-1.09	-3.74%	 28,673,300 	29.17	28.08	29.64	27.37				
WFC-L	-55.63	-4.58%	 1,629,300 	1214.73	1159.1	1247.5	1145				
WFC-N	2.21	9.54%	 20,508,700 	23.17	25.38	25.45	23.1				
WFC-O	2.21	9.59%	 17,815,200 	23.04	25.25	25.25	23.04				
WFC-P	2.3	9.77%	 13,344,800 	23.53	25.83	25.88	23.53				
WFC-Q	0.47	1.83%	 58,540,700 	25.65	26.12	26.78	25.11				
WFC-R	0.99	3.57%	 22,671,300 	27.74	28.73	28.8	27.3				
WFC-T	1.36	5.36%	 24,980,100 	25.38	26.74	26.74	25.08				
WFC-V	1.3	5.21%	 25,919,200 	24.95	26.25	26.51	24.95				
WFC.W	-0.87	-4.07%	 15,133,000 	21.36	20.49	24.45	17				
WFE-A	0.81	3.20%	 10,980,600 	25.35	26.16	26.97	25.35				
WFT	-3.06	-26.72%	 2,787,301,300 	11.45	8.39	14.87	7.77				
WG	-3.58	-57.10%	 158,592,700 	6.27	2.69	6.93	0.72				
WGL	8.37	15.32%	 69,255,200 	54.62	62.99	65.12	51.28				
WGO	-1.86	-8.55%	 103,978,700 	21.76	19.9	24.46	18.21				
WGP	-23.94	-39.75%	 47,840,800 	60.23	36.29	65.2	30.16				
WHG	-9.73	-15.74%	 5,198,300 	61.82	52.09	64.07	50.37				
WHR	-46.87	-24.19%	 247,573,600 	193.74	146.87	215	142.27				
WIA	-1.03	-8.88%	 16,676,700 	11.6	10.57	11.97	10.42				
WIT	0.22	1.94%	 140,756,200 	11.32	11.54	14.18	11.03				
WIW	-1.01	-8.94%	 30,293,900 	11.3	10.29	11.57	10.17				
WK	4.17	31.12%	 28,625,300 	13.4	17.57	18.75	12.28				
WLH	-3.77	-18.60%	 91,282,300 	20.27	16.5	26.12	14.87				
WLK	-6.77	-11.08%	 203,502,700 	61.09	54.32	78.59	49.82				
WLKP	-6.82	-23.52%	 29,965,900 	29	22.18	29	15.58				
WLL	-23.56	-71.39%	 2,340,687,600 	33	9.44	40.95	8.31				
WM	2.05	3.99%	 566,375,400 	51.32	53.37	55.18	46.35				
WMB	-19.24	-42.81%	 2,287,064,900 	44.94	25.7	60.86	21.54				
WMC	-4.48	-30.48%	 157,444,800 	14.7	10.22	15.59	10.12				
WMK	-3.52	-7.36%	 9,915,500 	47.82	44.3	51.36	39.48				
WMLP	-6.528	-62.01%	 1,020,100 	10.528	4	12.62	2.69				
WMS	1.05	4.57%	 91,878,500 	22.98	24.03	33.03	22.35				
WMT	-24.58	-28.62%	 2,278,867,500 	85.88	61.3	90.47	56.42				
WNC	-0.53	-4.29%	 303,131,400 	12.36	11.83	14.98	10.27				
WNR	-2.16	-5.72%	 381,502,200 	37.78	35.62	50.24	32.51				
WNRL	-5.97	-19.57%	 25,555,500 	30.5	24.53	31.82	18.7				
WNS	10.53	50.97%	 41,578,800 	20.66	31.19	34.07	19.49				
WOR	0.05	0.17%	 99,825,100 	30.09	30.14	32.14	21.88				
WPC	-11.1	-15.83%	 97,563,500 	70.1	59	73.58	56.23				
WPG	-6.61	-38.39%	 369,476,200 	17.22	10.61	18.18	9.91				
WPG-H	-0.43	-1.66%	 2,151,200 	25.93	25.5	27.55	24.95				
WPG-I	-0.71	-2.75%	 2,390,900 	25.8	25.09	27.21	24.67				
WPT	-6.72	-33.40%	 8,188,200 	20.12	13.4	21.25	11.94				
WPX	-5.89	-50.64%	 1,863,433,100 	11.63	5.74	14.55	5.16				
WPXP	-14.67	-31.82%	 7,879,200 	46.1	31.43	46.1	28.79				
WPZ	-16.9	-37.77%	 595,429,100 	44.75	27.85	58.7	22				
WR	1.17	2.84%	 268,314,800 	41.24	42.41	43.96	34.11				
WRB	3.49	6.81%	 148,667,700 	51.26	54.75	58.41	48.4				
WRB-B	1.66	6.99%	 4,332,900 	23.76	25.42	25.59	23.76				
WRE	-0.6	-2.17%	 97,401,600 	27.66	27.06	30.05	23.93				
WRI	-0.34	-0.97%	 208,909,200 	34.92	34.58	38.41	30.43				
WRK	-19.37	-29.80%	 211,260,100 	64.99	45.62	64.99	43.57				
WSM	-17.27	-22.82%	 231,452,700 	75.68	58.41	88.67	58.33				
WSO	10.13	9.47%	 54,565,800 	107	117.13	131.89	104.92				
WSO.B	11.74	10.96%	 32,400 	107.12	118.86	131.21	105				
WSR	-3.1	-20.52%	 37,502,300 	15.11	12.01	16.32	10.89				
WST	6.98	13.11%	 82,429,900 	53.24	60.22	64.13	49.19				
WTI	-5.03	-68.53%	 452,148,800 	7.34	2.31	7.43	2.08				
WTM	96.7	15.35%	 3,420,000 	630.11	726.81	808	618				
WTR	3.1	11.61%	 167,464,800 	26.7	29.8	30.51	24.49				
WTS	-13.77	-21.71%	 47,187,000 	63.44	49.67	63.44	48.34				
WTW	-2.04	-8.21%	 629,765,600 	24.84	22.8	26.61	3.78				
WU	0	0.00%	 1,416,659,100 	17.91	17.91	22.56	16.96				
WUBA	24.41	58.75%	 303,667,900 	41.55	65.96	81.8	37.35				
WWAV	3.92	11.20%	 472,730,200 	34.99	38.91	52.16	32.64				
WWE	5.5	44.57%	 160,436,600 	12.34	17.84	23.01	10.05				
WWW	-12.76	-43.30%	 230,842,900 	29.47	16.71	34.33	16.71				
WY	-5.91	-16.47%	 940,617,800 	35.89	29.98	36.69	26.87				
WYN	-13.11	-15.29%	 275,625,400 	85.76	72.65	94.11	70.18				
X	-18.76	-70.16%	 2,479,498,700 	26.74	7.98	27.33	7.09				
XCO	-0.93	-42.86%	 853,275,100 	2.17	1.24	2.52	0.51				
XEC	-16.62	-15.68%	 325,187,800 	106	89.38	129.44	85.27				
XEL	-0.01	-0.03%	 832,392,700 	35.92	35.91	38.11	31.92				
XHR	-5.22	-25.40%	 226,283,600 	20.55	15.33	24.33	15.26				
XIN	1.33	56.36%	 41,550,400 	2.36	3.69	3.69	2.01				
XKE	-1.84	-29.21%	 534,500 	6.3	4.46	7.18	3.8				
XL	4.81	13.99%	 674,997,200 	34.37	39.18	40.41	34.37				
XNY	-0.43	-19.46%	 3,149,500 	2.21	1.78	2.37	1.52				
