Ticker	Yearly Change	Percentage Charge	Stock Volume	Quote at BoY	Quote at EoY	LTM_Max	LTM_Min			Ticker	Value
A	-16.25	-28.41%	 572,978,100 	57.19	40.94	60.93	38.47		Greatest % Increase	DM	5581.16%
AA	15.48	48.54%	 5,161,412,000 	31.89	47.37	52.8	30.3		Greatest % Decrease	CBO	-95.73%
AA-B	0.9	1.82%	 21,618,200 	49.55	50.45	54.11	46.21		Greatest Total Volume	BAC	 21,595,474,700 
AAC	12.42	67.14%	 9,789,700 	18.5	30.92	32.41	18.1		Total number of stocks	2835	
AAN	1.17	3.98%	 237,929,300 	29.4	30.57	35.9	23.27				
AAP	48.6	43.91%	 200,376,400 	110.68	159.28	161.22	109.74				
AAT	8.38	26.66%	 40,207,800 	31.43	39.81	40.65	31.26				
AAV	0.45	10.37%	 86,658,700 	4.34	4.79	7.08	3.72				
AB	4.49	21.04%	 83,051,600 	21.34	25.83	27.76	21.07				
ABB	-5.41	-20.37%	 466,820,000 	26.56	21.15	27.09	20.37				
ABBV	12.63	23.92%	 2,303,237,600 	52.81	65.44	69.71	46.46				
ABC	19.85	28.23%	 428,969,000 	70.31	90.16	92.56	62.83				
ABEV	-1.13	-15.37%	 3,208,014,300 	7.35	6.22	7.9	5.68				
ABG	22.18	41.27%	 81,065,600 	53.74	75.92	77.56	45.42				
ABM	0.06	0.21%	 52,403,000 	28.59	28.65	29.43	24.57				
ABR	0.11	1.65%	 28,348,400 	6.66	6.77	7.3	6.44				
ABR-A	0.77	3.18%	 1,798,500 	24.22	24.99	25.37	23.86				
ABR-B	2.09	9.24%	 1,722,000 	22.61	24.7	24.93	22.32				
ABR-C	1.08	4.46%	 1,758,200 	24.21	25.29	25.6	24.13				
ABRN	-0.25	-1.01%	 3,451,100 	24.75	24.5	25.29	24.04				
ABT	6.69	17.45%	 1,516,024,700 	38.33	45.02	46.37	35.85				
ABX	-6.88	-39.02%	 3,085,372,400 	17.63	10.75	21.23	10.17				
ACC	9.15	28.41%	 180,543,400 	32.21	41.36	41.88	32.21				
ACCO	2.29	34.08%	 223,248,000 	6.72	9.01	9.4	5.64				
ACH	2.82	32.41%	 34,117,500 	8.7	11.52	12.22	8.28				
ACM	0.94	3.19%	 303,393,900 	29.43	30.37	38.13	27.69				
ACN	7.09	8.62%	 705,479,100 	82.22	89.31	91.42	75.85				
ACP	-2.47	-14.05%	 14,206,700 	17.58	15.11	18.01	14.84				
ACRE	-1.62	-12.37%	 44,197,000 	13.1	11.48	13.89	11.48				
ACW	0.61	16.35%	 60,360,500 	3.73	4.34	5.74	3.52				
ADC	2.07	7.13%	 16,456,400 	29.02	31.09	31.67	27.09				
