Ticker	Yearly Change	Percentage Charge	Stock Volume	Quote at BoY	Quote at EoY	LTM_Max	LTM_Min			Ticker	Value
ADM	8.6	19.82%	 899,905,700 	43.4	52	53.71	38.23				
ADPT	11.65	45.24%	 19,722,500 	25.75	37.4	38.41	24.03				
ADS	23.12	8.79%	 178,760,600 	262.93	286.05	294.27	233.67				
ADX	0.61	4.67%	 34,090,400 	13.07	13.68	14.81	12.16				
AEB	3.8	19.31%	 7,019,700 	19.68	23.48	24.6	19.68				
AED	1.82	7.72%	 9,710,300 	23.59	25.41	25.91	23.5				
AEE	9.97	27.57%	 412,343,900 	36.16	46.13	47.92	35.4				
AEG	-1.98	-20.89%	 245,332,800 	9.48	7.5	9.48	7.27				
AEH	2.09	8.93%	 17,897,000 	23.41	25.5	26	23.26				
AEK	-0.07	-0.25%	 11,292,400 	28.19	28.12	29.23	27.42				
AEL	2.81	10.65%	 136,859,700 	26.38	29.19	29.46	20.43				
AEM	-1.49	-5.65%	 600,094,300 	26.38	24.89	42.12	21.8				
AEO	-0.52	-3.61%	 1,376,762,500 	14.4	13.88	15.5	10.28				
AEP	13.98	29.91%	 680,782,800 	46.74	60.72	62.91	46.08				
AER	0.47	1.23%	 286,370,900 	38.35	38.82	49.26	34.71				
AES	-0.74	-5.10%	 1,286,666,200 	14.51	13.77	15.57	12.79				
AES-C	0.71	1.41%	 2,214,100 	50.18	50.89	52.26	49.25				
AET	20.24	29.51%	 608,235,900 	68.59	88.83	90.84	65.15				
AF	-0.47	-3.40%	 120,157,200 	13.83	13.36	14.38	12.09				
AF-C	2.74	12.50%	 3,220,400 	21.92	24.66	25.32	21.85				
AFA	4.21	19.73%	 2,822,800 	21.34	25.55	25.58	21.34				
AFB	1.24	9.90%	 17,064,700 	12.53	13.77	14.12	12.53				
AFC	2.22	9.73%	 4,275,100 	22.82	25.04	25.4	22.82				
AFG	3	5.20%	 89,640,900 	57.72	60.72	62.36	52.93				
AFGE	0.5	2.03%	 3,240,700 	24.62	25.12	25.22	24.27				
AFL	-5.71	-8.55%	 503,864,600 	66.8	61.09	66.8	55.8				
AFS-A	4.65	24.75%	 4,800,400 	18.79	23.44	24.8	18.79				
AFS-B	-0.61	-2.45%	 3,724,300 	24.94	24.33	25.04	23.93				
AFS-C	0.08	0.32%	 2,044,600 	25	25.08	25.44	24.45				
AFSD	3.34	15.74%	 9,732,900 	21.22	24.56	25.05	21.22				
AFT	-1.47	-8.12%	 14,773,900 	18.1	16.63	18.52	16.27				
AFW	2.87	12.12%	 4,680,600 	23.68	26.55	26.71	23.68				
AG	-4.78	-48.78%	 399,526,700 	9.8	5.02	12.36	4.03				
AGC	-0.98	-13.46%	 29,278,300 	7.28	6.3	7.89	6.05				
AGCO	-13.99	-23.64%	 359,103,100 	59.19	45.2	59.19	42.08				
AGD	-0.36	-3.53%	 12,464,700 	10.2	9.84	10.6	9.03				
AGI	-5	-41.22%	 122,361,100 	12.13	7.13	12.73	6.48				
AGM	-3.91	-11.42%	 8,080,500 	34.25	30.34	35.82	26.4				
AGM-A	6.18	32.66%	 1,748,900 	18.92	25.1	25.23	18.92				
AGM-B	1.72	6.95%	 1,700,600 	24.75	26.47	27.49	24.67				
AGM-C	0.33	1.32%	 1,052,900 	25.05	25.38	26.79	24.6				
AGM.A	-5.82	-20.39%	 59,200 	28.55	22.73	28.55	20.03				
AGN	101.51	91.38%	 766,965,600 	111.08	212.59	214	110.28				
AGO	2.4	10.17%	 520,744,100 	23.59	25.99	26.65	20.73				
AGO-B	1.99	8.50%	 2,163,200 	23.42	25.41	25.68	23.42				
AGO-E	4.95	24.28%	 5,098,900 	20.39	25.34	25.39	20.39				
AGO-F	4.68	24.32%	 3,127,800 	19.24	23.92	24.54	19.24				
AGRO	-0.08	-0.99%	 55,112,000 	8.09	8.01	10.25	7.01				
AGU	3.24	3.54%	 171,445,000 	91.48	94.72	102.29	82.79				
AGX	6.08	22.06%	 27,554,600 	27.56	33.64	40.47	26.77				
AHC	2.91	38.96%	 20,727,700 	7.47	10.38	13.12	7.41				
AHH	0.21	2.26%	 28,445,000 	9.28	9.49	10.57	8.85				
AHL	2.46	5.95%	 129,737,400 	41.31	43.77	46.94	36.63				
AHL-A	0.87	3.44%	 3,166,800 	25.3	26.17	27.76	25.3				
AHL-B	1.69	6.90%	 3,652,900 	24.49	26.18	26.98	24.49				
AHL-C	2.59	11.42%	 4,482,800 	22.67	25.26	26	22.65				
AHP	-1.04	-5.71%	 43,496,500 	18.2	17.16	18.64	14.79				
AHS	4.9	33.33%	 73,728,800 	14.7	19.6	20.08	10.53				
AHT	2.2	26.57%	 166,398,300 	8.28	10.48	11.99	8.26				
AHT-A	0.53	2.10%	 1,026,400 	25.25	25.78	26.13	25.18				
AHT-D	0.31	1.23%	 4,013,000 	25.22	25.53	25.88	25.05				
AI	0.22	0.83%	 67,250,000 	26.39	26.61	28.42	24.86				
AIB	4.57	22.16%	 5,889,800 	20.62	25.19	25.53	20.62				
AIF	-2.04	-11.33%	 15,800,600 	18	15.96	18.35	15.74				
AIG	4.96	9.72%	 2,093,309,100 	51.05	56.01	56.51	46.88				
AIG.W	4.37	21.58%	 25,620,300 	20.25	24.62	26.8	18.66				
AIN	2.06	5.73%	 24,246,000 	35.93	37.99	38.53	32.46				
AIR	-0.23	-0.82%	 71,473,000 	28.01	27.78	31.05	22.83				
AIT	-3.5	-7.13%	 43,850,100 	49.09	45.59	51.95	43.34				
AIV	11.24	43.38%	 311,189,600 	25.91	37.15	38.32	25.72				
AIV-A	0.82	3.24%	 1,068,900 	25.3	26.12	26.71	25.28				
AIW	2.58	11.93%	 710,600 	21.62	24.2	24.95	21.27				
AIY	3.88	18.34%	 5,561,800 	21.16	25.04	25.27	21.16				
AIZ	2.06	3.10%	 138,971,200 	66.37	68.43	69.52	60.81				
AJG	0.15	0.32%	 210,111,500 	46.93	47.08	49.39	43.59				
AKO.A	-6.74	-32.03%	 1,505,500 	21.04	14.3	21.5	14.15				
AKO.B	-11.24	-39.80%	 10,000,800 	28.24	17	28.24	16.94				
AKP	1.43	11.79%	 5,812,500 	12.13	13.56	13.89	12.13				
AKR	7.2	29.00%	 83,640,700 	24.83	32.03	33.16	24.65				
AKS	-2.26	-27.56%	 2,271,615,400 	8.2	5.94	11.19	5.2				
AL	3.23	10.39%	 195,412,900 	31.08	34.31	42.44	30.27				
ALB	-3.26	-5.14%	 242,807,300 	63.39	60.13	72.62	53.16				
ALDW	-3.75	-22.51%	 46,603,800 	16.66	12.91	20.41	11.85				
ALE	5.26	10.55%	 55,103,800 	49.88	55.14	57.95	44.39				
ALEX	-2.47	-5.92%	 51,302,000 	41.73	39.26	44.56	34.74				
ALG	-12.25	-20.18%	 10,393,900 	60.69	48.44	60.69	38.33				
ALJ	-3.87	-23.40%	 204,685,000 	16.54	12.67	16.98	11.86				
ALK	23.075	62.90%	 273,103,000 	36.685	59.76	59.77	36.59				
ALL	15.71	28.80%	 608,219,000 	54.54	70.25	71	49.55				
ALL-A	-0.36	-1.35%	 58,724,400 	26.74	26.38	27.6	25.91				
ALL-B	0.03	0.11%	 31,750,100 	26.85	26.88	27.78	26.27				
ALL-C	1.3	5.07%	 16,537,300 	25.65	26.95	27.27	25.31				
ALL-D	1.81	7.24%	 4,424,800 	25	26.81	27	25				
ALL-E	1.53	6.17%	 52,395,500 	24.8	26.33	26.76	24.7				
ALL-F	0.55	2.19%	 4,329,900 	25.15	25.7	26.27	24.99				
ALLE	11.27	25.50%	 195,013,900 	44.19	55.46	57.62	43.65				
ALLY	-0.36	-1.50%	 725,332,100 	23.98	23.62	25.21	20.12				
ALP-O	1.53	6.01%	 578,200 	25.44	26.97	28.2	25.1				
ALR	1.8	4.97%	 164,534,300 	36.2	38	41.14	32.86				
ALR-B	28.7	10.02%	 1,078,200 	286.3	315	348.08	285.02				
ALSN	6.29	22.78%	 407,438,500 	27.61	33.9	34.38	26.46				
ALV	14.32	15.60%	 140,921,600 	91.8	106.12	108.03	86.27				
ALX	107.18	32.48%	 1,390,200 	330	437.18	452.1	323.18				
AM	-0.53	-1.89%	 47,979,600 	28.03	27.5	29	23.16				
AMBR	-6.78	-39.88%	 34,806,300 	17	10.22	17.49	8.76				
AMC	5.63	27.40%	 64,433,700 	20.55	26.18	26.82	19.96				
AME	-0.04	-0.08%	 251,931,400 	52.67	52.63	54.2	46.12				
AMFW	-3.5	-21.29%	 17,781,500 	16.44	12.94	16.44	12.25				
AMG	-4.64	-2.14%	 121,026,000 	216.88	212.24	216.88	179.3				
AMH	0.83	5.12%	 308,740,000 	16.2	17.03	18.51	15.87				
AMH-A	-0.52	-2.07%	 4,817,700 	25.17	24.65	25.77	23.78				
AMH-B	0.11	0.45%	 4,019,600 	24.55	24.66	25	23.69				
AMH-C	-0.06	-0.24%	 6,329,900 	24.8	24.74	25	23.67				
AMID	-7.37	-27.22%	 16,055,200 	27.08	19.71	30.94	18.42				
AMP	17.2	14.95%	 250,287,600 	115.05	132.25	136.76	101.47				
AMRC	-2.66	-27.54%	 30,341,100 	9.66	7	10.8	5.74				
AMT	19.03	23.84%	 501,145,000 	79.82	98.85	105.01	78.83				
AMT-A	12.371	12.90%	 3,741,000 	95.8975	108.2685	110.8495	95.8975				
AMX	-1.19	-5.09%	 1,278,171,800 	23.37	22.18	26.38	19.17				
AN	10.72	21.57%	 254,145,100 	49.69	60.41	61.23	46.84				
ANET	5.76	10.47%	 79,554,300 	55	60.76	93.31	55				
ANF	-4.27	-12.97%	 613,269,600 	32.91	28.64	44.83	26.35				
ANFI	-1.41	-8.95%	 62,888,300 	15.76	14.35	23.17	9.66				
ANH	1.04	24.70%	 309,899,300 	4.21	5.25	5.5	4.21				
ANH-A	0.69	2.81%	 1,210,700 	24.58	25.27	25.93	24.58				
ANH-B	2.6	12.84%	 528,900 	20.25	22.85	23.86	20.25				
ANTM	-3.49	-2.70%	 22,426,300 	129.16	125.67	129.16	121.32				
ANW	2.8	24.96%	 49,806,200 	11.22	14.02	14.02	7.29				
AOD	0.11	1.31%	 109,577,100 	8.38	8.49	9.02	7.86				
AOI	-14.7	-48.20%	 72,882,300 	30.5	15.8	30.5	15.6				
AON	10.94	13.04%	 364,313,500 	83.89	94.83	97.6	76.88				
AOS	1.235	4.58%	 151,812,300 	26.97	28.205	28.395	22.34				
AP	-0.2	-1.03%	 7,921,100 	19.45	19.25	24.88	16.53				
APA	-23.27	-27.08%	 864,680,800 	85.94	62.67	103.48	55.2				
APAM	-14.66	-22.49%	 90,144,600 	65.19	50.53	71.75	46.32				
APB	0.77	7.33%	 4,629,700 	10.51	11.28	12.1	9.63				
APC	3.18	4.01%	 1,256,457,200 	79.32	82.5	112.69	72.01				
APD	32.45	29.03%	 346,016,200 	111.78	144.23	149.12	103.75				
APF	-1.71	-10.33%	 8,895,800 	16.56	14.85	17.43	14.58				
APH	9.22	20.68%	 187,870,400 	44.59	53.81	55.45	42.34				
APO	-8.03	-25.40%	 317,590,700 	31.61	23.58	36.22	20.89				
APU	3.35	7.52%	 97,266,400 	44.57	47.92	48.3	41.18				
AR	-22.86	-36.03%	 281,318,200 	63.44	40.58	67.41	38.6				
ARC	2	24.33%	 65,103,500 	8.22	10.22	10.36	5.43				
ARCO	-6.71	-55.36%	 204,187,000 	12.12	5.41	12.12	5.27				
ARCX	-4.84	-22.10%	 4,648,100 	21.9	17.06	26.2	17.06				
ARDC	-2.16	-12.01%	 14,605,600 	17.98	15.82	18.61	15.61				
ARE	25.12	39.48%	 104,531,500 	63.62	88.74	90.19	63.62				
ARE-E	4.7	22.17%	 5,731,000 	21.2	25.9	26.15	21.2				
ARES	-1.46	-7.85%	 26,530,900 	18.6	17.14	19.85	15.46				
ARH-C	4.04	17.62%	 8,250,700 	22.93	26.97	27.42	22.93				
ARI	0.11	0.68%	 89,322,300 	16.25	16.36	17.12	15.71				
ARI-A	1.25	5.02%	 2,002,000 	24.89	26.14	26.77	24.84				
ARL	0.21	4.00%	 1,648,700 	5.25	5.46	10.48	4.86				
ARMK	4.93	18.80%	 157,557,500 	26.22	31.15	31.15	23.64				
ARR	-0.33	-8.23%	 925,992,500 	4.01	3.68	4.43	3.62				
ARR-A	3.26	15.13%	 2,768,600 	21.55	24.81	25.66	21.55				
ARR-B	3.89	19.30%	 4,385,000 	20.16	24.05	24.65	20.16				
ARU	0.65	2.61%	 3,100,100 	24.9	25.55	26.07	24.84				
ARW	3.64	6.71%	 142,425,100 	54.25	57.89	62.71	46.42				
ASA	-2.15	-17.54%	 20,031,000 	12.26	10.11	15.07	9.55				
ASB	-0.01	-0.05%	 2,811,800 	18.64	18.63	18.88	18.6				
ASC	-3.59	-23.07%	 34,746,700 	15.56	11.97	15.56	8.81				
ASG	-0.46	-8.19%	 14,183,300 	5.62	5.16	5.69	4.7				
ASGN	-1.73	-4.95%	 112,781,500 	34.92	33.19	38.92	26.39				
ASH	22.72	23.41%	 199,111,600 	97.04	119.76	120.9	89.09				
ASPN	-2.77	-25.77%	 11,027,300 	10.75	7.98	11.46	6.58				
ASR	7.21	5.79%	 12,067,700 	124.63	131.84	136.35	107				
ASX	1.33	27.71%	 189,525,500 	4.8	6.13	6.87	4.45				
AT	-0.77	-22.13%	 337,172,100 	3.48	2.71	4.13	1.94				
ATEN	-11.85	-73.10%	 89,025,800 	16.21	4.36	16.21	3.93				
ATHM	-0.23	-0.63%	 180,063,500 	36.59	36.36	56.6	29				
ATI	-0.86	-2.41%	 321,834,200 	35.63	34.77	46.23	29.86				
ATO	10.32	22.72%	 148,367,100 	45.42	55.74	58.08	44.19				
ATR	-0.97	-1.43%	 64,876,300 	67.81	66.84	68.38	56.18				
ATTO	-2.51	-19.37%	 19,536,100 	12.96	10.45	12.96	9.43				
ATU	-9.4	-25.66%	 165,567,200 	36.64	27.24	37.03	26.8				
ATV	0.13	8.39%	 5,326,300 	1.55	1.68	2.81	1.32				
ATW	-25.02	-46.86%	 250,026,700 	53.39	28.37	53.79	26.76				
AU	-3.02	-25.77%	 749,398,200 	11.72	8.7	19.36	7.48				
AUO	1.97	63.14%	 121,008,400 	3.12	5.09	5.42	2.73				
AUY	-4.6	-53.36%	 2,296,500,200 	8.62	4.02	10.57	3.47				
AV	-0.25	-1.65%	 46,141,500 	15.15	14.9	18.14	14.2				
AVA	7.16	25.40%	 93,778,600 	28.19	35.35	37.27	27.73				
AVAL	-3.19	-23.49%	 73,686,100 	13.58	10.39	13.78	9.46				
AVB	45.16	38.20%	 210,279,400 	118.23	163.39	169.2	117.53				
AVD	-12.67	-52.16%	 74,525,900 	24.29	11.62	24.44	9.54				
AVG	2.53	14.70%	 114,199,400 	17.21	19.74	21.1	15.48				
AVH	-3.71	-24.03%	 58,613,100 	15.44	11.73	18.39	10.46				
AVK	-2.18	-11.76%	 18,229,400 	18.53	16.35	19.6	15.77				
AVP	-7.83	-45.47%	 1,389,766,000 	17.22	9.39	17.22	9.11				
AVT	-1.09	-2.47%	 198,998,800 	44.11	43.02	47.5	36.54				
AVV	0.47	1.72%	 9,206,600 	27.4	27.87	28.52	27.02				
AVX	0.07	0.50%	 48,731,600 	13.93	14	14.85	11.88				
AVY	1.69	3.37%	 212,605,100 	50.19	51.88	52.67	41.28				
AWF	-1.85	-12.96%	 67,555,900 	14.28	12.43	15.21	12.32				
AWH	0.3167	0.84%	 88,077,600 	37.6033	37.92	39.47	32.3067				
AWI	-6.49	-11.27%	 235,334,900 	57.61	51.12	61.37	45.31				
AWK	11.04	26.12%	 176,424,800 	42.26	53.3	55.86	41.16				
AWP	0.02	0.28%	 68,374,800 	7.19	7.21	7.47	6.42				
AWR	8.93	31.08%	 39,778,100 	28.73	37.66	38.71	27.15				
AXE	-1.38	-1.54%	 62,777,700 	89.84	88.46	107.51	76.57				
AXL	2.14	10.46%	 327,294,100 	20.45	22.59	22.79	16.4				
AXP	2.31	2.55%	 964,761,500 	90.73	93.04	95.84	80.24				
AXR	-3.16	-45.14%	 3,505,500 	7	3.84	7.99	3.68				
AXS	3.52	7.40%	 161,747,700 	47.57	51.09	51.9	42.39				
AXS-C	3.14	13.32%	 6,408,400 	23.58	26.72	27.4	23.58				
AXS-D	4.69	25.23%	 12,827,700 	18.59	23.28	23.65	18.59				
AXTA	5.27	25.40%	 61,096,700 	20.75	26.02	27.45	20.75				
AYI	30.75	28.13%	 105,383,700 	109.32	140.07	143.65	106.28				
AYR	2.21	11.53%	 101,008,100 	19.16	21.37	21.58	15.73				
AZN	11.01	18.54%	 749,547,400 	59.37	70.38	81.09	58.51				
AZO	141.17	29.54%	 65,505,800 	477.94	619.11	624.49	474.11				
AZZ	-1.94	-3.97%	 33,587,200 	48.86	46.92	49.09	40.25				
B	-1.3	-3.39%	 72,750,000 	38.31	37.01	40.71	29.66				
BA	-6.51	-4.77%	 1,093,868,800 	136.49	129.98	144.37	118.34				
BABA	10.05	10.70%	 2,077,863,000 	93.89	103.94	119.15	84.95				
BAC	2.32	14.90%	 21,595,474,700 	15.57	17.89	18.13	14.51				
BAC-D	1.03	4.28%	 10,159,900 	24.09	25.12	25.41	24.09				
BAC-E	0.33	1.64%	 4,177,400 	20.13	20.46	23	19.67				
BAC-I	1.17	4.67%	 6,642,900 	25.07	26.24	26.59	25.07				
BAC-L	103.25	9.73%	 1,305,700 	1061	1164.25	1197.5	1056				
BAC-W	0.66	2.65%	 36,060,500 	24.91	25.57	25.57	24.65				
BAC.A	0.57	8.81%	 76,274,100 	6.47	7.04	8.63	6.38				
BAC.B	-0.06	-7.79%	 90,186,800 	0.77	0.71	0.97	0.7				
BAF	1.47	11.42%	 5,852,400 	12.87	14.34	14.51	12.87				
BAH	7.38	38.54%	 181,324,700 	19.15	26.53	27.78	17.71				
BAK	-4.94	-27.68%	 89,903,400 	17.85	12.91	17.85	12.3				
BAM	7.5333	29.10%	 152,219,400 	25.8867	33.42	33.6067	24.4267				
BAN-C	-0.25	-0.94%	 460,200 	26.65	26.4	26.87	25.82				
BANC	0.64	5.91%	 30,264,300 	10.83	11.47	12.28	10.47				
BAP	27.45	20.68%	 78,216,300 	132.73	160.18	169.97	125.14				
BAS	-8.77	-55.58%	 439,507,900 	15.78	7.01	29.46	5.17				
BAX	3.74	5.38%	 708,329,900 	69.55	73.29	77	66.49				
BBD	0.7	6.70%	 2,234,583,000 	10.4417	11.1417	15.4417	8.525				
BBDO	-0.9333	-7.97%	 494,900 	11.7083	10.775	14.975	9.5917				
BBF	1.49	11.94%	 4,322,400 	12.48	13.97	14.06	12.48				
BBG	-15.39	-57.47%	 367,143,300 	26.78	11.39	29.59	7.8				
BBK	2.19	15.97%	 6,554,900 	13.71	15.9	15.94	13.71				
BBL	-19.12	-30.78%	 176,022,200 	62.12	43	71.02	39.88				
BBN	3.01	15.72%	 53,324,600 	19.15	22.16	22.16	18.96				
BBT	1.57	4.21%	 925,187,200 	37.32	38.89	40.77	35.2				
BBT-D	3.57	16.62%	 15,478,900 	21.48	25.05	25.31	21.48				
BBT-E	3.84	18.87%	 28,001,200 	20.35	24.19	24.49	20.35				
BBT-F	3.96	21.12%	 14,958,000 	18.75	22.71	23.19	18.75				
BBT-G	4.16	22.13%	 14,330,600 	18.8	22.96	23.06	18.8				
BBVA	-3	-24.21%	 400,455,900 	12.39	9.39	13.54	9.39				
BBW	12.55	166.23%	 38,012,900 	7.55	20.1	20.68	7.5				
BBX	0.85	5.45%	 9,490,200 	15.6	16.45	22.09	12.42				
BBY	-0.9	-2.26%	 1,697,652,700 	39.88	38.98	40.68	22.72				
BC	5.2	11.29%	 229,013,300 	46.06	51.26	51.94	38.95				
BCC	7.67	26.02%	 94,520,300 	29.48	37.15	37.61	24.08				
BCE	2.57	5.94%	 185,963,600 	43.29	45.86	47.98	40.94				
BCEI	-19.47	-44.79%	 265,268,100 	43.47	24	61.86	17.11				
BCH	-18.86	-21.48%	 16,943,300 	87.8	68.94	87.8	67.38				
BCO	-9.73	-28.50%	 110,691,700 	34.14	24.41	35.57	20.1				
BCR	32.68	24.40%	 169,296,600 	133.94	166.62	172.68	125.42				
BCRH	-0.62	-3.38%	 9,651,000 	18.37	17.75	19.93	16.51				
BCS	-3.12	-17.21%	 697,873,100 	18.13	15.01	19.58	13.5				
BCS-A	0.64	2.54%	 17,160,000 	25.17	25.81	26.24	25.15				
BCS-D	0.71	2.80%	 36,783,600 	25.37	26.08	26.48	25.36				
BCX	-1.88	-16.22%	 59,679,900 	11.59	9.71	12.51	9.35				
BDC	8.36	11.87%	 76,276,400 	70.45	78.81	80.96	58.56				
BDJ	0.18	2.27%	 114,965,400 	7.94	8.12	8.47	7.57				
BDN	1.89	13.41%	 380,762,800 	14.09	15.98	16.29	13.77				
BDN-E	3.35	14.57%	 2,900,600 	23	26.35	26.92	23				
BDX	28.67	25.95%	 250,414,100 	110.49	139.16	141.26	105.4				
BEL	-0.97	-7.27%	 52,330,000 	13.34	12.37	13.34	10.67				
BEN	-2.36	-4.09%	 503,347,500 	57.73	55.37	58.84	50.2				
BEP	4.77	18.23%	 8,793,100 	26.16	30.93	32.36	25.27				
BERY	7.76	32.62%	 241,359,800 	23.79	31.55	31.78	21.88				
BF.A	6.995	18.96%	 1,588,500 	36.885	43.88	48.295	36.5				
BF.B	6.135	16.24%	 111,600,700 	37.785	43.92	48.525	37.04				
BFAM	10.27	27.95%	 43,235,200 	36.74	47.01	47.14	35.94				
BFK	1.48	11.65%	 21,842,100 	12.7	14.18	14.18	12.7				
BFO	-0.09	-0.60%	 3,640,200 	15.11	15.02	15.54	14.9				
BFR	6.83	98.13%	 74,478,000 	6.96	13.79	15.26	5.56				
BFS	9.46	19.82%	 7,719,500 	47.73	57.19	58.56	45.06				
BFS-C	4.46	20.06%	 3,471,600 	22.23	26.69	26.69	22.14				
BFZ	1.3	9.50%	 14,159,400 	13.68	14.98	15.17	13.58				
BG	8.8	10.72%	 242,942,300 	82.11	90.91	92.91	73.51				
BGB	-1.32	-7.42%	 40,251,600 	17.8	16.48	18.52	15.62				
BGC	-14.51	-49.34%	 218,377,300 	29.41	14.9	31.4	12.51				
BGCA	1.47	5.68%	 2,418,700 	25.88	27.35	28.2	25.76				
BGE-B	0.79	3.22%	 1,878,500 	24.51	25.3	25.62	24.35				
BGG	-1.34	-6.16%	 101,891,300 	21.76	20.42	23.01	17.2				
BGH	-2.93	-12.67%	 22,112,600 	23.12	20.19	24.68	20.08				
BGR	-4.35	-17.90%	 28,611,600 	24.3	19.95	27.29	19.95				
BGS	-4.01	-11.83%	 88,599,300 	33.91	29.9	34.62	27.27				
BGT	-1.11	-7.95%	 18,248,100 	13.96	12.85	14.42	12.65				
BGX	-2.34	-13.09%	 13,474,300 	17.87	15.53	18.28	15.28				
BGY	-1.39	-17.10%	 113,247,500 	8.13	6.74	8.38	6.63				
BH	-107.13	-21.15%	 1,972,600 	506.64	399.51	508.38	320.95				
BHE	2.36	10.23%	 73,098,000 	23.08	25.44	25.81	20.51				
BHI	0.81	1.47%	 1,285,746,200 	55.26	56.07	75.35	50.02				
BHK	0.32	2.48%	 20,046,600 	12.88	13.2	13.96	12.88				
BHL	-0.83	-6.10%	 6,077,900 	13.61	12.78	14.17	12.75				
BHLB	-0.61	-2.24%	 22,494,900 	27.27	26.66	27.27	22.32				
BHP	-20.88	-30.62%	 552,024,600 	68.2	47.32	73.5	45.15				
BID	-10.02	-18.83%	 281,426,300 	53.2	43.18	53.51	35.3				
BIF	1.01	12.56%	 10,231,900 	8.04	9.05	9.09	7.49				
BIG	7.73	23.94%	 292,803,300 	32.29	40.02	50.8	25.71				
BIO	-3.05	-2.47%	 23,038,300 	123.61	120.56	133.73	106.48				
BIO.B	-3.2	-2.59%	 55,900 	123.71	120.51	133.88	108.79				
BIO.W	0.9	123.29%	 1,213,400 	0.73	1.63	3.05	0.73				
BIOA	0.91	12.17%	 14,932,800 	7.48	8.39	14.99	7.48				
BIP	1.7666	6.76%	 47,812,800 	26.1467	27.9133	28.66	23.8133				
BIT	-0.34	-1.99%	 34,090,200 	17.11	16.77	18.65	16.6				
BITA	38.45	120.31%	 307,182,300 	31.96	70.41	96.14	28.67				
BJZ	-0.53	-3.36%	 4,120,700 	15.77	15.24	16.41	15.15				
BK	5.63	16.11%	 1,351,988,600 	34.94	40.57	41.53	30.91				
BK-C	2.28	10.99%	 15,953,800 	20.75	23.03	24.37	20.75				
BKD	9.49	34.92%	 448,412,900 	27.18	36.67	36.86	26.37				
BKE	-0.04	-0.08%	 72,803,900 	52.56	52.52	53.39	41.94				
BKH	0.53	1.01%	 60,428,100 	52.51	53.04	61.39	47.48				
BKK	0.63	4.00%	 7,834,300 	15.75	16.38	16.9	15.67				
BKN	2.19	15.38%	 10,285,600 	14.24	16.43	16.55	14.12				
BKS	8.27	55.32%	 287,698,500 	14.95	23.22	24.09	13.25				
BKT	-0.08	-1.23%	 35,512,900 	6.48	6.4	6.69	6.31				
BKU	-3.95	-12.00%	 172,501,000 	32.92	28.97	35.38	27.66				
BLH	-0.25	-1.64%	 2,836,300 	15.23	14.98	15.75	14.95				
BLK	41.09	12.98%	 155,976,800 	316.47	357.56	364.4	286.39				
