Ticker	Yearly Change	Percentage Charge	Stock Volume	Quote at BoY	Quote at EoY	LTM_Max	LTM_Min			Ticker	Value
A	3.75	8.97%	 528,576,200 	41.81	45.56	48.44	34.8		Greatest % Increase	SD	11675.00%
AA	-1.53	-5.17%	 5,208,239,000 	29.61	28.08	33.93	20.22		Greatest % Decrease	DYN.W	-91.49%
AAC	-11.82	-62.01%	 57,179,800 	19.06	7.24	23.52	6.86		Greatest Total Volume	BAC	 27,428,529,600 
AAN	9.6	42.88%	 184,809,000 	22.39	31.99	33.97	20.33		Total number of stocks	3168	
AAP	18.61	12.36%	 262,665,300 	150.51	169.12	176.78	136.19				
AAT	4.73	12.33%	 49,026,400 	38.35	43.08	45.95	34.61				
AAV	1.67	32.87%	 27,358,200 	5.08	6.75	7.75	4.32				
AB	-0.4	-1.68%	 64,736,300 	23.85	23.45	24.6	16.8				
ABB	3.34	18.84%	 503,779,400 	17.73	21.07	22.88	16.06				
ABBV	3.38	5.71%	 2,034,231,800 	59.24	62.62	67.39	51.18				
ABC	-25.52	-24.61%	 647,239,900 	103.71	78.19	103.71	69.03				
ABEV	0.45	10.09%	 4,199,335,100 	4.46	4.91	6.28	3.88				
ABG	-5.74	-8.51%	 89,828,200 	67.44	61.7	67.44	45.07				
ABM	12.37	43.45%	 79,787,400 	28.47	40.84	44.78	26.58				
ABR	0.31	4.34%	 27,556,100 	7.15	7.46	7.96	6.04				
ABR-A	0.57	2.33%	 792,500 	24.5	25.07	26.18	22.1				
ABR-B	2.02	8.95%	 795,300 	22.56	24.58	25.59	20.61				
ABR-C	0.18	0.72%	 521,300 	25.17	25.35	26.35	22.5				
ABRN	0.7	2.85%	 1,759,800 	24.6	25.3	26.15	22.1				
ABT	-6.5	-14.47%	 2,298,099,600 	44.91	38.41	45.29	36.34				
ABX	8.6	116.53%	 4,996,990,800 	7.38	15.98	23.16	7.38				
AC	2.35	7.70%	 6,530,000 	30.5	32.85	35.49	25.3				
ACC	8.43	20.39%	 258,457,600 	41.34	49.77	54.55	39.33				
ACCO	5.92	83.03%	 163,653,100 	7.13	13.05	13.7	5.65				
ACH	1.97	23.91%	 11,563,400 	8.24	10.21	11.72	6.95				
ACM	6.33	21.08%	 296,759,000 	30.03	36.36	40.13	23.15				
ACN	12.63	12.09%	 650,155,300 	104.5	117.13	125.4	93.32				
ACP	2.08	18.33%	 21,179,200 	11.35	13.43	13.44	9.49				
ACRE	2.29	20.02%	 35,062,000 	11.44	13.73	14.27	9.02				
ACV	0.62	3.41%	 12,734,300 	18.16	18.78	19.31	14.78				
ADC	12.06	35.48%	 51,966,400 	33.99	46.05	50.8	32.49				
ADM	8.97	24.45%	 909,133,500 	36.68	45.65	47.72	30.51				
ADNT	13.09	28.76%	 101,270,800 	45.51	58.6	58.6	44.2				
ADPT	-46.88	-85.99%	 181,359,500 	54.52	7.64	72.35	7.64				
ADS	-48.07	-17.38%	 198,979,100 	276.57	228.5	276.57	177.12				
ADSW	2.22	11.10%	 34,703,200 	20	22.22	22.22	19.28				
ADX	-0.12	-0.94%	 44,199,400 	12.83	12.71	13.31	11.06				
AEB	-1.6	-6.63%	 5,311,800 	24.13	22.53	25.25	20.83				
AED	-0.7	-2.71%	 5,932,500 	25.86	25.16	26.59	24.06				
AEE	9.23	21.35%	 448,588,700 	43.23	52.46	53.77	42.13				
AEG	-0.14	-2.47%	 492,308,100 	5.67	5.53	6.07	3.46				
AEH	-0.74	-2.87%	 16,856,300 	25.78	25.04	26.6	23.66				
AEK	-1.49	-5.41%	 10,721,900 	27.54	26.05	28.24	25.98				
AEL	-1.49	-6.20%	 200,190,700 	24.03	22.54	24.03	12.81				
AEM	15.72	59.82%	 609,302,500 	26.28	42	59.77	26.28				
AEO	-0.33	-2.13%	 1,367,241,800 	15.5	15.17	19.37	13.12				
AEP	4.69	8.05%	 705,384,600 	58.27	62.96	71.27	57.64				
AER	-1.55	-3.59%	 605,224,000 	43.16	41.61	45.46	25.54				
AES	2.05	21.42%	 1,349,417,900 	9.57	11.62	13.26	8.54				
AES-C	0.32	0.64%	 3,618,900 	50.08	50.4	52.45	46.66				
AET	15.89	14.70%	 688,246,900 	108.12	124.01	134.9	94.31				
AEUA	7.4	21.80%	 9,916,700 	33.95	41.35	43.72	22.94				
AF	2.8	17.67%	 219,713,200 	15.85	18.65	18.93	14.11				
AF-C	-0.87	-3.35%	 3,510,300 	25.99	25.12	27.48	24.26				
AFA	-0.87	-3.36%	 2,011,200 	25.86	24.99	26.53	24.34				
AFB	-0.59	-4.27%	 19,766,500 	13.81	13.22	15.18	12.86				
AFC	-0.21	-0.83%	 3,305,700 	25.44	25.23	26.21	24.5				
AFG	16.04	22.25%	 71,519,900 	72.08	88.12	88.12	65.14				
AFGE	-1.02	-3.92%	 3,865,100 	26.05	25.03	28.07	24.52				
AFGH	-0.67	-2.61%	 8,094,200 	25.67	25	27.85	23.71				
AFI	7.91	65.92%	 42,652,000 	12	19.91	20.8	12				
AFL	9.7	16.19%	 531,406,600 	59.9	69.6	74.28	55.55				
AFS-A	0.19	0.78%	 2,631,600 	24.39	24.58	26	23.7				
AFS-B	-0.28	-1.11%	 2,020,800 	25.3	25.02	26.47	24.35				
AFS-C	-0.4	-1.56%	 1,950,800 	25.56	25.16	26.88	24.6				
AFS-D	-0.19	-0.75%	 4,561,900 	25.41	25.22	26.88	24.18				
AFS-E	0.44	1.75%	 7,523,100 	25.08	25.52	27.39	24.99				
AFS-F	-2.16	-8.56%	 9,697,300 	25.24	23.08	25.46	22.92				
AFSD	-1.64	-6.35%	 7,978,900 	25.84	24.2	27.33	23.95				
AFSS	-0.38	-1.48%	 4,927,800 	25.64	25.26	26.75	23.96				
AFST	-0.12	-0.46%	 4,815,000 	25.87	25.75	27.94	24.11				
