Ticker	Yearly Change	Percentage Charge	Stock Volume	Quote at BoY	Quote at EoY	LTM_Max	LTM_Min			Ticker	Value
AFT	2.25	14.85%	 17,664,700 	15.15	17.4	17.4	13.8				
AFW	-0.94	-3.61%	 3,067,000 	26.06	25.12	26.96	25.04				
AG	4.36	133.33%	 1,361,040,000 	3.27	7.63	18.42	2.51				
AGC	0.33	5.95%	 33,128,000 	5.55	5.88	5.93	4.52				
AGCO	12.47	27.47%	 244,934,300 	45.39	57.86	60.66	44.02				
AGD	-0.08	-0.90%	 12,142,900 	8.85	8.77	9.01	7.48				
AGI	3.55	107.90%	 549,171,900 	3.29	6.84	10.37	2.34				
AGM	25.7	81.41%	 16,777,700 	31.57	57.27	58.72	26.36				
AGM-A	-0.43	-1.69%	 407,800 	25.4	24.97	27.1	24.97				
AGM-B	-0.95	-3.52%	 626,400 	27	26.05	29.5	25.32				
AGM-C	-1.08	-4.13%	 469,000 	26.15	25.07	28.5	24.87				
AGM.A	34.46	127.44%	 320,700 	27.04	61.5	62	26.09				
AGN	-102.49	-32.80%	 1,043,968,900 	312.5	210.01	312.5	188.47				
AGN-A	-266.53	-25.90%	 11,700,800 	1028.99	762.46	1028.99	698.74				
AGO	11.34	42.91%	 242,470,200 	26.43	37.77	38.86	22.04				
AGO-B	-0.16	-0.62%	 1,225,600 	25.7	25.54	26.97	25.46				
AGO-E	-0.45	-1.77%	 2,634,800 	25.44	24.99	27.34	24.2				
AGO-F	-1.15	-4.62%	 1,483,200 	24.91	23.76	26.13	23.23				
AGR	-0.52	-1.35%	 118,037,500 	38.4	37.88	46.49	35.62				
AGRO	-1.91	-15.54%	 121,974,600 	12.29	10.38	13.23	9.5				
AGU	11.21	12.55%	 202,177,700 	89.34	100.55	109.38	81.9				
AGX	38.15	117.75%	 42,901,400 	32.4	70.55	75.1	28.72				
AHC	1.35	27.00%	 9,326,100 	5	6.35	7.79	4.76				
AHH	4.09	39.03%	 78,082,700 	10.48	14.57	15.15	9.88				
AHL	6.7	13.87%	 72,267,000 	48.3	55	55.5	41.07				
AHL-A	-0.21	-0.83%	 9,130,000 	25.2	24.99	26.48	23.17				
AHL-B	-0.85	-3.23%	 3,707,300 	26.28	25.43	26.72	25.31				
AHL-C	-0.48	-1.86%	 8,363,400 	25.79	25.31	30.2	24.75				
AHL-D	-3.08	-12.20%	 9,467,200 	25.25	22.17	26.09	21.46				
AHP	-0.85	-5.86%	 64,367,100 	14.5	13.65	16	9.68				
AHP-B	3.79	21.35%	 542,700 	17.75	21.54	24.38	17.75				
AHT	1.45	22.98%	 171,326,300 	6.31	7.76	7.8	4.58				
AHT-A	0.13	0.51%	 2,215,700 	25.25	25.38	25.98	18.41				
AHT-D	-0.2	-0.79%	 8,826,600 	25.19	24.99	25.97	17.91				
AHT-F	-1.09	-4.37%	 5,403,200 	24.96	23.87	26.05	21.9				
AHT-G	-1.85	-7.40%	 4,057,400 	24.99	23.14	24.99	21.78				
AI	1.59	12.02%	 68,958,700 	13.23	14.82	17.08	10.23				
AIB	-0.24	-0.94%	 3,152,100 	25.41	25.17	26.57	23.49				
AIC	3.02	15.75%	 670,900 	19.17	22.19	23.6	16.98				
AIF	1.57	11.30%	 16,688,500 	13.89	15.46	15.46	12.58				
AIG	3.34	5.39%	 1,809,688,600 	61.97	65.31	66.7	48.79				
AIG.W	-0.3	-1.26%	 39,571,300 	23.76	23.46	24.72	15.9				
AIN	9.75	26.68%	 29,209,100 	36.55	46.3	49.25	31.43				
AIR	6.76	25.71%	 56,872,900 	26.29	33.05	38.67	18.93				
AIT	18.91	46.70%	 50,974,900 	40.49	59.4	62.3	36.67				
AIV	5.42	13.54%	 331,974,300 	40.03	45.45	47.59	35.45				
AIV-A	0.2	0.78%	 1,663,000 	25.64	25.84	29	25.42				
AIW	3.3	16.50%	 692,300 	20	23.3	24	17				
AIY	0.23	0.92%	 2,689,200 	25.06	25.29	27.29	23.38				
AIZ	12.32	15.30%	 139,257,600 	80.54	92.86	93.74	66.23				
AJG	11.02	26.92%	 309,346,100 	40.94	51.96	52.12	36.24				
AJRD	2.29	14.62%	 78,934,600 	15.66	17.95	21.36	14.04				
AJX	1.15	9.49%	 13,896,800 	12.12	13.27	14.36	9.16				
AKO.A	4.25	26.11%	 1,612,100 	16.28	20.53	22.82	14.24				
AKO.B	5.06	29.06%	 6,014,300 	17.41	22.47	24.53	14.57				
AKP	-0.84	-5.96%	 7,280,400 	14.09	13.25	15.69	13.07				
AKR	-0.47	-1.42%	 120,623,600 	33.15	32.68	37.69	31.05				
AKS	7.97	355.80%	 3,467,881,900 	2.24	10.21	10.95	1.83				
AL	0.85	2.54%	 269,175,900 	33.48	34.33	37.02	22.73				
ALB	30.07	53.69%	 342,585,100 	56.01	86.08	91.8	47.71				
ALDW	-13.65	-58.71%	 56,070,200 	23.25	9.6	23.25	7.74				
ALE	13.36	26.28%	 64,053,800 	50.83	64.19	66.23	48.77				
ALEX	9.56	27.07%	 45,440,200 	35.31	44.87	46.09	29.3				
ALG	24	46.07%	 15,866,000 	52.1	76.1	77.6	49.33				
ALJ	-3.46	-23.32%	 286,329,700 	14.84	11.38	14.9	5.99				
ALK	8.22	10.21%	 388,876,500 	80.51	88.73	91.56	55.66				
ALL	12.03	19.38%	 553,885,900 	62.09	74.12	74.58	57.7				
ALL-A	-0.61	-2.41%	 89,451,600 	25.36	24.75	27.47	23.25				
ALL-B	-0.57	-2.21%	 20,100,100 	25.74	25.17	28.21	24.42				
ALL-C	-1.87	-6.76%	 6,837,400 	27.65	25.78	28.61	25.61				
ALL-D	-1.81	-6.54%	 2,087,300 	27.68	25.87	28.66	25.6				
ALL-E	-1.88	-6.77%	 12,733,100 	27.75	25.87	28.6	25.69				
ALL-F	-1.17	-4.36%	 3,938,600 	26.82	25.65	29.12	25.05				
ALL-Y	0.06	0.24%	 25,971,700 	25.34	25.4	25.62	24.97				
ALLE	-1.92	-2.91%	 184,984,800 	65.92	64	72.82	53.77				
ALLY	0.38	2.04%	 1,087,087,200 	18.64	19.02	20.4	14.9				
ALP-O	-2.36	-8.25%	 634,400 	28.6	26.24	30.93	26.05				
ALR	-0.12	-0.31%	 352,700,100 	39.09	38.97	54.11	31.47				
ALR-B	51.7	18.39%	 1,741,700 	281.2	332.9	401.6	257.53				
ALSN	7.8	30.13%	 341,821,400 	25.89	33.69	35.02	21.58				
ALV	-11.62	-9.31%	 124,662,000 	124.77	113.15	125.77	94.29				
ALX	42.76	11.13%	 1,591,700 	384.11	426.87	447.34	354.1				
AM	8.06	35.32%	 120,123,500 	22.82	30.88	31.14	17.4				
AMBR	3.99	78.39%	 69,671,100 	5.09	9.08	12.14	3.71				
AMC	9.65	40.21%	 71,836,200 	24	33.65	35.5	20.06				
AME	-4.99	-9.31%	 450,065,000 	53.59	48.6	53.59	43.88				
AMFW	-0.73	-11.34%	 50,760,400 	6.44	5.71	7.78	4.8				
AMG	-14.46	-9.05%	 147,016,100 	159.76	145.3	179.01	117.8				
AMH	4.32	25.93%	 539,400,100 	16.66	20.98	22.84	13.21				
AMH-A	1.9	7.39%	 2,391,400 	25.7	27.6	28.36	25.04				
AMH-B	1.27	4.86%	 1,301,600 	26.11	27.38	28.44	25.17				
AMH-C	1.44	5.60%	 2,655,900 	25.71	27.15	28.2	24.76				
AMH-D	-0.44	-1.73%	 7,671,200 	25.44	25	27.47	23.55				
AMH-E	-0.58	-2.31%	 11,518,500 	25.09	24.51	26.25	23.06				
AMID	10.11	124.97%	 66,597,600 	8.09	18.2	18.2	4.5				
AMN	6.67	20.99%	 32,759,200 	31.78	38.45	39.6	26.9				
AMOV	-0.3	-2.38%	 167,000 	12.6	12.3	13.02	11.92				
AMP	4.52	4.25%	 320,640,400 	106.42	110.94	118.9	76.27				
AMRC	-0.75	-12.00%	 18,422,600 	6.25	5.5	6.3	3.93				
AMT	8.73	9.00%	 562,692,600 	96.95	105.68	117.84	83.66				
AMT-A	6.2525	6.34%	 6,860,100 	98.5675	104.82	113.47	91.5365				
AMT-B	3.5	3.47%	 11,082,000 	101	104.5	114.98	91				
AMX	-1.49	-10.60%	 1,090,269,200 	14.06	12.57	15.72	11.13				
AN	-11.01	-18.45%	 338,522,200 	59.66	48.65	59.66	40.26				
ANET	18.93	24.32%	 195,687,500 	77.84	96.77	98	53				
ANF	-15	-55.56%	 749,874,900 	27	12	32.46	11.94				
ANFI	-2.96	-32.49%	 60,411,900 	9.11	6.15	13.85	5.88				
ANH	0.82	18.85%	 166,031,300 	4.35	5.17	5.38	3.89				
ANH-A	0.79	3.22%	 946,500 	24.5	25.29	25.87	23.7				
ANH-B	2.48	10.74%	 672,600 	23.1	25.58	26	19.3				
ANH-C	1.16	4.92%	 518,700 	23.57	24.73	26	21.31				
ANTM	4.33	3.11%	 443,467,300 	139.44	143.77	147.66	117.22				
ANTX	0.9	1.95%	 39,937,800 	46.05	46.95	48.46	41.2				
ANW	1.79	21.41%	 81,267,100 	8.36	10.15	12.45	5.21				
AOD	-0.1	-1.30%	 103,127,400 	7.68	7.58	7.84	6.56				
AOI	7.73	67.39%	 11,966,400 	11.47	19.2	26.43	8.65				
AON	19.32	20.95%	 288,446,100 	92.21	111.53	115.95	84.62				
AOS	9.045	23.61%	 213,781,700 	38.305	47.35	51.41	31.03				
AP	6.49	63.26%	 9,427,500 	10.26	16.75	19.09	9.29				
APA	19	42.73%	 1,098,258,800 	44.47	63.47	67.35	34.38				
APAM	-6.31	-17.50%	 110,616,900 	36.06	29.75	36.06	24.16				
APB	-0.35	-3.48%	 2,271,700 	10.07	9.72	10.72	8.44				
APC	21.15	43.54%	 1,590,944,800 	48.58	69.73	72.69	30.54				
APD	13.71	10.54%	 375,347,100 	130.11	143.82	157.4	116.31				
APF	-0.33	-2.39%	 2,732,700 	13.83	13.5	15.23	11.9				
APFH	5.78	24.08%	 51,936,700 	24	29.78	29.78	23.5				
APH	14.97	28.66%	 354,061,200 	52.23	67.2	68.83	45.42				
APLE	0.01	0.05%	 227,753,900 	19.97	19.98	20.59	17.26				
APO	4.18	27.54%	 223,981,900 	15.18	19.36	20.86	12.6				
APTS	1.83	13.99%	 42,966,300 	13.08	14.91	15.33	10.76				
APU	13.65	39.83%	 61,430,800 	34.27	47.92	49.89	33.51				
AQN	0.28	3.41%	 1,843,100 	8.2	8.48	8.9	8.2				
AR	1.85	8.49%	 845,499,400 	21.8	23.65	30.1	19.77				
ARA	-5.22	-19.70%	 32,034,800 	26.5	21.28	29.21	17.07				
ARC	0.66	14.93%	 46,209,800 	4.42	5.08	5.08	3.06				
ARCH	15.05	23.89%	 44,528,900 	63	78.05	85.16	61.31				
ARCO	2.29	73.63%	 140,951,400 	3.11	5.4	6.45	2.21				
ARCX	2.66	20.05%	 8,363,200 	13.27	15.93	16.07	9.45				
ARDC	1.72	12.87%	 19,630,700 	13.36	15.08	15.1	12.04				
ARE	20.77	22.99%	 142,497,600 	90.36	111.13	114.52	71.65				
ARE-A	0.09	0.36%	 12,514,500 	24.96	25.05	27.46	23.93				
ARE-D	6.77	24.63%	 14,181,500 	27.49	34.26	36.25	26.7				
ARE-E	-0.61	-2.37%	 2,605,000 	25.7	25.09	26.57	24.85				
ARES	6.27	48.49%	 12,809,900 	12.93	19.2	19.2	10.91				
ARH-C	-1.72	-6.40%	 5,930,600 	26.89	25.17	27.64	25.1				
ARI	-0.61	-3.54%	 220,231,100 	17.23	16.62	18.05	15.13				
ARI-A	-0.53	-2.05%	 2,578,400 	25.87	25.34	26.28	23				
ARI-C	-0.26	-1.04%	 1,739,600 	25.04	24.78	25.5	24.21				
ARL	-0.45	-8.01%	 1,700,700 	5.62	5.17	7.82	3.89				
ARMK	3.47	10.76%	 419,204,600 	32.25	35.72	38.21	29.82				
ARN-B	1.4	4.87%	 6,781,000 	28.75	30.15	35.46	27.75				
ARNC	-0.38	-2.01%	 254,170,200 	18.92	18.54	21.8	17.34				
AROC	5.68	75.53%	 182,090,800 	7.52	13.2	14.15	3.73				
ARR	-0.07	-0.32%	 130,200,500 	21.76	21.69	23.22	17.53				
ARR-A	1.4	6.11%	 1,731,000 	22.9	24.3	24.66	20.16				
ARR-B	2.9	14.29%	 6,033,400 	20.3	23.2	23.88	17.5				
ARU	0.3	1.19%	 2,788,000 	25.3	25.6	26.17	25.05				
ARW	17.12	31.60%	 140,627,800 	54.18	71.3	72.44	46.66				
ASA	3.87	53.97%	 45,925,100 	7.17	11.04	17.08	6.7				
ASB	5.95	31.73%	 250,746,500 	18.75	24.7	25.15	15.48				
ASB-C	-0.75	-2.88%	 1,070,400 	26	25.25	27.85	24.65				
ASB-D	-3.21	-12.79%	 3,931,500 	25.1	21.89	25.38	20.78				
ASC	-5.32	-41.82%	 89,207,000 	12.72	7.4	12.72	5.5				
ASG	-0.4	-8.73%	 13,239,300 	4.58	4.18	4.58	3.54				
ASGN	-0.79	-1.76%	 89,461,500 	44.95	44.16	45.77	29.68				
ASH	6.59	6.42%	 146,708,100 	102.7	109.29	123.3	89.25				
ASIX	5.73	34.92%	 51,674,300 	16.41	22.14	22.97	14.01				
ASPN	-1.94	-31.96%	 19,015,300 	6.07	4.13	6.55	3.55				
ASR	3.22	2.29%	 14,926,900 	140.67	143.89	164.3	121.43				
ASX	-0.63	-11.11%	 232,400,800 	5.67	5.04	6.21	4.41				
AT	0.53	26.90%	 115,741,700 	1.97	2.5	2.75	1.65				
ATEN	1.75	26.68%	 109,654,100 	6.56	8.31	10.77	4.92				
ATH	3.94	8.94%	 29,167,400 	44.05	47.99	47.99	44.05				
ATHM	-9.64	-27.61%	 210,499,400 	34.92	25.28	34.92	19.5				
ATI	4.68	41.60%	 701,385,800 	11.25	15.93	18.94	7.62				
ATKR	7.91	49.44%	 42,425,800 	16	23.91	23.93	15.3				
ATO	11.11	17.62%	 146,119,100 	63.04	74.15	81.32	61.74				
ATR	0.8	1.10%	 71,319,500 	72.65	73.45	80.46	66.7				
ATTO	-2.09	-21.46%	 10,472,300 	9.74	7.65	10.1	6.9				
ATU	1.99	8.31%	 153,208,700 	23.96	25.95	29.3	21.12				
ATV	2.56	47.06%	 18,783,600 	5.44	8	10.56	4.01				
ATW	2.9	28.35%	 1,118,539,800 	10.23	13.13	13.98	5.32				
AU	3.41	48.03%	 1,140,264,900 	7.1	10.51	22.65	7.1				
AUO	0.63	21.65%	 189,795,100 	2.91	3.54	4.38	2.44				
AUY	0.95	51.08%	 4,122,948,500 	1.86	2.81	5.92	1.41				
AV	-3.52	-23.14%	 94,450,500 	15.21	11.69	15.21	9.41				
AVA	4.62	13.06%	 86,955,400 	35.37	39.99	44.97	34.67				
AVAL	1.42	21.78%	 35,233,300 	6.52	7.94	8.94	5.64				
AVB	-6.98	-3.79%	 203,314,800 	184.13	177.15	191	159.75				
AVD	5.14	36.69%	 44,232,400 	14.01	19.15	19.65	10.08				
AVH	5.37	125.76%	 45,068,900 	4.27	9.64	10.18	3.48				
AVK	1.16	8.58%	 24,274,900 	13.52	14.68	15.29	11.15				
AVP	0.99	24.44%	 1,631,538,000 	4.05	5.04	6.89	2.38				
AVT	4.77	11.13%	 258,031,000 	42.84	47.61	48.84	37.78				
AVX	3.49	28.75%	 46,979,700 	12.14	15.63	15.96	10.7				
AVY	7.56	12.07%	 200,622,900 	62.66	70.22	78.84	58.16				
AWF	1.79	16.60%	 54,118,100 	10.78	12.57	12.89	10.1				
AWH	16.52	44.42%	 173,038,200 	37.19	53.71	53.92	30.75				
AWI	-3.93	-8.59%	 156,202,000 	45.73	41.8	48.37	36.29				
AWK	12.61	21.10%	 360,364,300 	59.75	72.36	84.76	59.44				
AWP	-0.64	-11.09%	 88,883,000 	5.77	5.13	5.9	4.66				
AWR	3.61	8.61%	 46,511,100 	41.95	45.56	47.18	37.62				
AXE	20.66	34.21%	 48,974,700 	60.39	81.05	83.65	38.29				
AXL	0.36	1.90%	 371,925,100 	18.94	19.3	19.51	11.75				
AXON	-5.61	-31.11%	 96,304,600 	18.03	12.42	18.03	9.51				
AXP	4.53	6.51%	 1,407,981,800 	69.55	74.08	75.32	51.11				
AXR	3.07	70.57%	 2,500,000 	4.35	7.42	8.12	3.66				
AXS	9.05	16.10%	 125,578,900 	56.22	65.27	65.87	51.53				
AXS-C	-1.61	-6.00%	 10,816,800 	26.82	25.21	27.08	25.07				
AXS-D	-2.57	-10.17%	 4,819,200 	25.28	22.71	27.5	22.05				
AXS-E	-2.1	-8.84%	 8,839,400 	23.76	21.66	23.78	21.13				
AXTA	0.55	2.06%	 563,145,400 	26.65	27.2	30.33	21.05				
AYI	-2.94	-1.26%	 122,228,500 	233.8	230.86	279.15	175.13				
AYR	-0.04	-0.19%	 100,089,000 	20.89	20.85	22.84	15.41				
AZN	-6.63	-19.53%	 1,435,933,100 	33.95	27.32	34.5	25.81				
AZO	47.88	6.45%	 75,334,000 	741.91	789.79	815.98	695.46				
AZRE	2.4	16.44%	 6,287,000 	14.6	17	18.55	13.65				
AZZ	8.33	14.99%	 35,218,000 	55.57	63.9	67.59	47.68				
B	12.03	33.99%	 56,633,600 	35.39	47.42	49.32	30.5				
BA	11.09	7.67%	 1,111,660,700 	144.59	155.68	157.81	108.44				
BABA	6.54	8.05%	 3,742,094,000 	81.27	87.81	109.36	60.57				
BAC	5.27	31.31%	 27,428,529,600 	16.83	22.1	23.16	11.16				
BAC-A	-0.22	-0.88%	 43,727,700 	25.12	24.9	27.1	24.58				
BAC-C	-0.19	-0.75%	 43,552,600 	25.43	25.24	27.19	24.41				
BAC-D	-0.74	-2.86%	 12,479,800 	25.83	25.09	26.2	24.58				
BAC-E	-0.56	-2.50%	 15,098,400 	22.39	21.83	26.38	20.6				
BAC-I	-1.44	-5.38%	 5,943,700 	26.76	25.32	27.39	25.12				
BAC-L	73.53	6.73%	 2,481,300 	1093.27	1166.8	1254	1070.25				
BAC-W	-1.03	-3.85%	 23,599,700 	26.74	25.71	27.97	25.14				
BAC-Y	-1.2	-4.49%	 25,334,000 	26.72	25.52	27.72	25				
BAC.A	4.13	70.96%	 165,623,300 	5.82	9.95	10.94	3.04				
BAC.B	0.69	255.56%	 54,083,700 	0.27	0.96	1.22	0.07				
BAF	-0.52	-3.52%	 6,221,300 	14.78	14.26	16.59	13.75				
BAH	5.22	16.92%	 263,732,400 	30.85	36.07	38.2	25.68				
BAK	7.67	56.65%	 137,314,000 	13.54	21.21	21.21	10.99				
BAM	1.48	4.69%	 285,278,900 	31.53	33.01	36.09	27.3				
BAN-C	-0.76	-2.86%	 930,500 	26.58	25.82	28.39	24.77				
BAN-D	-0.58	-2.23%	 3,546,200 	25.96	25.38	28.21	24.09				
BAN-E	0.47	1.93%	 7,550,200 	24.4	24.87	27.5	23.62				
BANC	2.73	18.67%	 247,132,700 	14.62	17.35	23.12	11.26				
BAP	60.54	62.21%	 90,719,600 	97.32	157.86	163.77	87.11				
BAS	32.67	1219.03%	 601,319,000 	2.68	35.35	36	0.32				
BAX	6.19	16.23%	 1,488,815,900 	38.15	44.34	49.16	34.76				
BBD	3.9	81.08%	 3,423,802,200 	4.81	8.71	10.41	4.02				
BBDO	3.63	69.54%	 931,600 	5.22	8.85	9.84	4.34				
BBF	-0.59	-4.04%	 5,674,200 	14.6	14.01	16.42	13.6				
BBG	3.06	77.86%	 521,616,400 	3.93	6.99	9.35	2.54				
BBK	-0.88	-5.45%	 5,780,600 	16.14	15.26	18.5	14.92				
BBL	8.81	38.90%	 692,412,200 	22.65	31.46	35.28	17.07				
BBN	0.62	2.96%	 59,273,400 	20.98	21.6	25.5	20.58				
BBT	9.21	24.36%	 1,263,676,700 	37.81	47.02	47.71	30.28				
BBT-D	-1.89	-7.15%	 9,218,200 	26.42	24.53	27.31	23.84				
BBT-E	-2.36	-9.04%	 20,186,600 	26.11	23.75	27.24	23.34				
BBT-F	-2.34	-9.32%	 8,286,500 	25.1	22.76	26.41	22.13				
BBT-G	-2.45	-9.70%	 8,763,300 	25.25	22.8	27.25	22.12				
BBT-H	-0.61	-2.45%	 28,231,300 	24.9	24.29	27.44	23.33				
BBU	2.59	12.06%	 5,003,300 	21.47	24.06	26.75	18.34				
BBVA	-0.56	-7.64%	 834,339,600 	7.33	6.77	7.63	5.3				
BBW	1.51	12.34%	 35,460,700 	12.24	13.75	15.45	10.21				
BBY	12.22	40.13%	 1,374,865,100 	30.45	42.67	49.31	25.87				
BC	4.03	7.98%	 300,728,000 	50.51	54.54	56.03	37.98				
BCC	-3.03	-11.87%	 118,338,400 	25.53	22.5	28.06	13.89				
BCE	4.62	11.96%	 207,446,700 	38.62	43.24	48.76	36.95				
BCEI	-4.25	-80.65%	 947,248,100 	5.27	1.02	5.33	0.76				
BCH	11.04	18.58%	 10,830,500 	59.41	70.45	72.48	56.27				
BCO	12.39	42.93%	 83,995,900 	28.86	41.25	45.1	26.04				
BCR	35.22	18.59%	 127,217,500 	189.44	224.66	239	176.1				
BCRH	1.3	7.58%	 7,878,500 	17.15	18.45	19.32	17.06				
BCS	-1.96	-15.12%	 1,713,508,400 	12.96	11	12.96	7.03				
BCS-A	-0.59	-2.27%	 22,482,000 	25.97	25.38	26.26	22.88				
BCS-D	-0.99	-3.73%	 48,674,200 	26.53	25.54	26.8	24.05				
BCX	1.16	16.32%	 96,625,900 	7.11	8.27	8.61	5.75				
BDC	27.09	56.82%	 92,162,900 	47.68	74.77	80.48	37.15				
BDC-B	-0.23	-0.22%	 5,945,700 	105.9	105.67	112.78	90				
BDJ	0.54	7.10%	 115,898,100 	7.61	8.15	8.22	6.6				
BDN	2.85	20.86%	 412,225,800 	13.66	16.51	16.87	11.29				
BDN-E	-1.54	-5.75%	 2,962,600 	26.76	25.22	26.87	25.2				
BDX	11.46	7.44%	 257,549,400 	154.09	165.55	181.55	132.88				
BEL	3.85	40.53%	 135,899,200 	9.5	13.35	13.95	7.68				
BEN	2.76	7.50%	 844,006,200 	36.82	39.58	42.02	30.67				
BEP	3.52	13.45%	 10,333,000 	26.18	29.7	31.64	21.69				
